permit type,street number,street suffix,current status,number of existing stories,number of proposed stories,estimated cost,revised cost,existing use,existing units,proposed use,proposed units,plansets,existing construction type,proposed construction type,supervisor district,neighborhoods - analysis boundaries,zipcode,if_permit_created_on_file_date,if_completed,if_first_construc_is_issue_date,diff_permit_date,expired_before_completed,ratio_stories,existing_proposed_construction_type,ratio_estimated_revised,ratio_existing_proposed_units,latitude,longitude,permit creation date_col,current status date_col,filed date_col,issued date_col,completed date_col,first construction document date_col,permit expiration date_col
8,0.10915965361629466,12,6,4.0,4.0,1.0,1.0,48,2.0,7,3.0,0.0,3.0,5.0,5.0,9,94117.0,True,False,True,-1231 days,False,1.0,False,1.0,0.6666666666666666,37.777501464434096,-122.4313176580435,736613,736613,736613,736613,734948,736613,735382
8,0.29564581046469085,2,6,2.0,2.0,1.0,1.0,13,2.0,22,2.0,2.0,5.0,4.0,2.0,15,94115.0,True,False,True,-1232 days,False,1.0,False,1.0,1.0,37.78231492051284,-122.44311204170013,736614,736614,736614,736614,734948,736614,735382
8,0.3313818758385169,12,8,4.0,4.0,9500.0,1.0,61,18.0,27,17.0,2.0,5.0,4.0,2.0,30,94109.0,True,False,True,-1233 days,False,1.0,False,9500.0,1.0588235294117647,37.806017225478456,-122.42015526260425,736615,736622,736615,736615,734948,736615,735382
8,0.03207708257104525,1,6,2.0,2.0,1.0,1.0,26,0.0,32,0.0,0.0,5.0,3.0,1.0,10,94118.0,True,False,True,-1237 days,False,1.0,False,1.0,,37.78372760851531,-122.46092340202318,736619,736619,736619,736619,734948,736619,735382
8,0.1048908403463837,12,6,19.0,19.0,2700.0,1.0,51,26.0,62,27.0,2.0,1.0,2.0,3.0,19,94109.0,True,False,True,-1237 days,False,1.0,False,2700.0,0.9629629629629629,37.788197996005636,-122.41442324510548,736619,736619,736619,736619,734948,736619,735382
7,0.03329674350530553,12,5,3.0,3.0,1000.0,1.0,61,2.0,32,2.0,2.0,5.0,5.0,6.0,18,94107.0,True,False,True,-1244 days,False,1.0,True,1000.0,1.0,37.777642220223974,-122.39341813656613,736626,736626,736626,735022,734948,735022,735382
8,0.007927796072691793,12,6,2.0,2.0,10000.0,1.0,16,0.0,32,0.0,2.0,3.0,5.0,10.0,37,94134.0,True,False,True,-1250 days,False,1.0,False,10000.0,,37.71876662168294,-122.40622225145289,736632,736632,736632,736632,734948,736632,735382
8,0.21087937553360167,1,6,4.0,4.0,16200.0,1.0,16,116.0,52,108.0,2.0,3.0,3.0,7.0,11,94122.0,True,False,True,-1254 days,False,1.0,True,16200.0,1.0740740740740742,37.7558354230817,-122.46863203513271,736636,736636,736636,736636,734948,736636,735382
8,0.05878765703134529,12,6,9.0,9.0,3500.0,1.0,44,18.0,51,20.0,2.0,2.0,1.0,6.0,5,94107.0,True,False,True,-1258 days,False,1.0,False,3500.0,0.9,37.78174763474234,-122.39596460976995,736640,736640,736640,736640,734948,736640,735382
8,0.22051469691425785,12,6,4.0,4.0,500.0,1.0,35,0.0,15,0.0,2.0,4.0,5.0,2.0,25,94109.0,True,False,True,-1258 days,False,1.0,False,500.0,,37.790448830284234,-122.42601228372914,736640,736640,736640,736640,734948,736640,735382
